City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Broken Hill,AU,71.6,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
317,Tezu,IN,61.45,scattered clouds,27.9167,96.1667,Circuit House
319,Los Llanos De Aridane,ES,64.4,broken clouds,28.6585,-17.9182,Valle Aridane
320,Ruteng,ID,63.28,light rain,-8.6136,120.4721,Hotel FX72 Ruteng
322,Dunedin,NZ,55.99,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
323,Cradock,ZA,74.39,few clouds,-32.1642,25.6192,Die Hoekhuis
324,Balkanabat,TM,50.65,overcast clouds,39.5108,54.3671,Nebitchi Hotel
325,Itoman,JP,59.0,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
326,Siderno,IT,51.01,clear sky,38.2779,16.302,Grand Hotel President
329,Nagato,JP,41.0,scattered clouds,34.3833,131.2,いそう庵
330,Pacific Grove,US,55.4,clear sky,36.6177,-121.9166,Lovers Point Inn
331,Cockburn Town,TC,72.63,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
344,Aswan,EG,69.37,broken clouds,24.0934,32.907,Nuba Nile
345,Olafsvik,IS,36.75,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
346,Ahipara,NZ,65.16,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
347,Alice Springs,AU,69.8,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
349,La Palma,US,64.99,mist,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
352,Chiredzi,ZW,73.26,light rain,-21.05,31.6667,The Nesbitt Arms
353,Lishui,CN,49.44,scattered clouds,28.4604,119.9103,Bayi Hotel
354,Berlevag,NO,30.2,snow,70.8578,29.0864,Kvitbrakka
355,Presidencia Roque Saenz Pena,AR,72.0,overcast clouds,-26.7852,-60.4388,Hotel Gualok
356,Meadow Lake,US,63.0,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
358,Mar Del Plata,AR,69.8,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
359,Yeppoon,AU,73.4,broken clouds,-23.1333,150.7333,Villa Mar Colina
361,Manjacaze,MZ,73.56,overcast clouds,-24.7117,33.8828,Hotel Gani
362,Zenzeli,RU,41.54,overcast clouds,45.9241,47.0474,"Gostinitsa ""Zvezdnaya"""
363,Belyy Yar,RU,35.6,clear sky,53.6039,91.3903,Pasportnyy Stol
366,Jedburgh,GB,34.0,snow,55.48,-2.552,Mounthooly Haugh
371,Batemans Bay,AU,66.0,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
372,Strehaia,RO,39.99,fog,44.6167,23.2,King's Lynn
375,Sandpoint,US,39.0,broken clouds,48.2766,-116.5533,La Quinta Inn by Wyndham Sandpoint
376,Marsh Harbour,BS,63.43,clear sky,26.5412,-77.0636,Abaco Beach Resort
382,Tiznit,MA,66.52,clear sky,29.5833,-9.5,
