City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
213,Santa Rosalia,MX,27.3167,-112.2833,76.51,25,64,3.42,broken clouds
214,Saskylakh,RU,71.9167,114.0833,-22.9,84,98,13.49,overcast clouds
215,Torbay,CA,47.6666,-52.7314,39.0,100,90,26.46,light rain
216,Skerries,IE,53.5828,-6.1083,46.0,81,75,9.22,light rain
217,Vysokogornyy,RU,50.1167,139.15,-30.57,82,100,2.86,overcast clouds
218,Huarmey,PE,-10.0681,-78.1522,74.89,64,77,9.1,broken clouds
219,Ouargaye,BF,11.5033,0.0572,82.17,14,0,7.49,clear sky
220,Vestmannaeyjar,IS,63.4427,-20.2734,38.8,74,100,34.99,overcast clouds
221,Bengkulu,ID,-3.8004,102.2655,75.54,86,100,5.08,overcast clouds
222,Gerash,IR,27.6652,54.1371,50.0,32,0,4.61,clear sky
223,Serenje,ZM,-13.2325,30.2352,63.72,94,100,1.16,overcast clouds
224,Ravar,IR,31.2656,56.8055,47.43,48,0,1.86,clear sky
225,Saint-Augustin,CA,51.226,-58.6502,33.26,94,100,35.52,moderate rain
226,Sambava,MG,-14.2667,50.1667,80.01,81,100,8.34,light rain
227,Narsaq,GL,60.9167,-46.05,15.8,53,75,6.91,broken clouds
228,Norman Wells,CA,65.282,-126.8329,-34.6,67,75,6.91,broken clouds
229,Kodiak,US,57.79,-152.4072,28.4,93,1,3.44,clear sky
230,Kahului,US,20.8947,-156.47,77.0,61,40,28.77,heavy intensity rain
231,Yenagoa,NG,4.9247,6.2642,80.47,80,7,7.31,clear sky
232,Tokur,RU,53.1333,132.9,-39.87,83,100,2.59,overcast clouds
233,Muros,ES,42.7762,-9.0603,55.99,74,28,1.99,light rain
234,Kiama,AU,-34.6833,150.8667,64.0,88,10,1.14,clear sky
235,Rensvik,NO,63.1,7.8167,17.6,67,0,4.61,clear sky
236,North Bend,US,43.4065,-124.2243,46.99,87,75,8.05,broken clouds
237,Jacobina,BR,-11.1806,-40.5183,84.42,48,100,4.29,overcast clouds
238,Port Antonio,JM,18.18,-76.4612,84.2,54,20,12.66,few clouds
239,Lasa,IT,46.6166,10.7002,37.99,93,90,9.22,mist
240,San Carlos De Bariloche,AR,-41.1456,-71.3082,89.6,11,20,5.75,few clouds
241,Santa Maria,BR,-29.6842,-53.8069,75.2,94,90,6.91,moderate rain
242,Fallon,US,39.4735,-118.7774,46.4,34,75,17.27,broken clouds
243,Kungurtug,RU,50.5994,97.5228,4.17,84,56,1.9,broken clouds
244,Katherine,AU,-14.4667,132.2667,80.6,89,75,5.75,broken clouds
245,Murray Bridge,AU,-35.1167,139.2667,66.99,57,100,4.45,light rain
246,Cherskiy,RU,68.75,161.3,9.79,86,100,7.38,overcast clouds
247,Miami,US,25.7743,-80.1937,68.0,34,1,6.91,clear sky
248,Karratha,AU,-20.7377,116.8463,81.3,81,80,15.21,broken clouds
249,Bambanglipuro,ID,-7.95,110.2833,77.0,85,100,4.74,overcast clouds
250,Gazanjyk,TM,39.2446,55.5154,49.59,49,99,1.36,overcast clouds
251,Veraval,IN,20.9,70.3667,69.89,52,0,9.04,clear sky
252,Broome,US,42.2506,-75.833,27.0,86,90,14.97,mist
253,Kruisfontein,ZA,-34.0033,24.7314,71.01,78,7,1.99,clear sky
254,Normal,US,40.5142,-88.9906,35.6,75,1,11.5,clear sky
