City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
230,Kulhudhuffushi,MV,2021-02-03 20:04:58,6.6221,73.07,81.68,69,22,7.18
231,Arvika,SE,2021-02-03 20:04:58,59.6553,12.5852,10.4,92,0,10.36
232,San Quintin,MX,2021-02-03 20:04:58,30.4833,-115.95,64.76,69,60,15.79
233,Rocha,UY,2021-02-03 20:04:58,-34.4833,-54.3333,68.45,94,100,9.01
234,Penha,BR,2021-02-03 20:01:23,-26.7694,-48.6458,84.2,84,20,16.11
235,Cap Malheureux,MU,2021-02-03 20:03:38,-19.9842,57.6142,79.0,81,4,3.0
236,Vila Velha,BR,2021-02-03 20:02:42,-20.3297,-40.2925,86.0,58,20,19.57
237,Najran,SA,2021-02-03 20:04:59,17.4924,44.1277,66.2,26,0,1.92
238,Richards Bay,ZA,2021-02-03 20:02:08,-28.783,32.0377,75.27,94,100,4.23
239,Avarua,CK,2021-02-03 20:04:59,-21.2078,-159.775,84.2,74,20,9.22
240,Beinamar,TD,2021-02-03 20:04:59,8.6698,15.3813,79.79,16,0,5.35
241,Tairua,NZ,2021-02-03 20:04:59,-37.0167,175.85,70.0,81,53,8.01
242,East London,ZA,2021-02-03 20:04:59,-33.0153,27.9116,77.14,80,0,4.16
243,Baykit,RU,2021-02-03 20:04:59,61.67,96.37,-8.16,86,97,1.54
244,Codrington,AU,2021-02-03 20:05:00,-38.2667,141.9667,57.4,75,99,9.75
245,Udachnyy,RU,2021-02-03 20:01:25,66.4167,112.4,-23.69,84,100,3.94
246,Nabire,ID,2021-02-03 20:05:00,-3.3667,135.4833,75.42,92,100,2.71
247,Damghan,IR,2021-02-03 20:03:20,36.1683,54.348,42.73,58,99,2.71
248,Kudahuvadhoo,MV,2021-02-03 20:05:00,2.6708,72.8944,81.43,81,98,18.81
249,Pisco,PE,2021-02-03 20:03:42,-13.7,-76.2167,77.0,69,0,5.75
250,Changji,CN,2021-02-03 20:05:00,44.0167,87.3167,14.0,85,21,4.47
251,Le Port,RE,2021-02-03 20:05:01,-20.9373,55.2919,80.6,61,3,18.41
252,Vila Franca Do Campo,PT,2021-02-03 20:02:41,37.7167,-25.4333,53.6,66,20,13.8
253,Sambava,MG,2021-02-03 20:05:01,-14.2667,50.1667,80.01,81,100,8.34
254,Alofi,NU,2021-02-03 20:05:01,-19.0595,-169.9187,77.0,100,90,6.91
255,Kabinda,CD,2021-02-03 20:01:21,-6.1333,24.4833,68.74,95,99,4.65
256,Ina,JP,2021-02-03 20:05:01,35.8276,137.9538,32.0,76,30,1.99
257,Urumqi,CN,2021-02-03 20:05:01,43.801,87.6005,14.0,85,5,4.47
258,Sitka,US,2021-02-03 20:05:02,57.0531,-135.33,35.6,80,90,6.91
259,Gejiu,CN,2021-02-03 20:05:02,23.306,103.1635,45.07,100,52,4.99
260,Grand Gaube,MU,2021-02-03 20:05:02,-20.0064,57.6608,79.0,81,21,3.0
261,Hobyo,SO,2021-02-03 20:04:02,5.3505,48.5268,76.39,79,3,16.96
262,Maragogi,BR,2021-02-03 20:03:48,-9.0122,-35.2225,80.92,72,40,9.26
263,Clyde River,CA,2021-02-03 20:05:03,70.4692,-68.5914,-22.0,76,75,3.44
264,Oppdal,NO,2021-02-03 20:05:03,62.5943,9.6912,2.62,84,32,9.64
265,Yelniki,RU,2021-02-03 20:05:03,54.6207,43.876,28.33,98,100,10.07
266,Barrow,US,2021-02-03 20:00:22,71.2906,-156.7887,-29.2,75,1,13.8
267,Kharp,RU,2021-02-03 20:05:03,66.8014,65.8081,-0.06,89,89,3.83
268,Mount Gambier,AU,2021-02-03 20:05:03,-37.8333,140.7667,57.2,88,98,8.05
269,Nome,US,2021-02-03 20:03:44,64.5011,-165.4064,-0.4,65,20,9.22
270,Taoudenni,ML,2021-02-03 20:05:04,22.6783,-3.9836,76.26,17,82,10.13
271,Halifax,CA,2021-02-03 20:03:27,44.6453,-63.5724,46.0,87,40,9.22
272,Aleppo,SY,2021-02-03 20:05:04,36.25,37.5,51.37,72,100,9.98
273,San Patricio,US,2021-02-03 20:04:02,28.017,-97.5169,77.0,53,75,19.57
274,Tuatapere,NZ,2021-02-03 20:05:04,-46.1333,167.6833,50.85,76,35,6.91
275,Luwuk,ID,2021-02-03 20:05:04,-0.9516,122.7875,78.24,73,99,3.8
276,Calvia,ES,2021-02-03 20:05:04,39.5657,2.5062,55.4,94,75,4.61
277,Maturin,VE,2021-02-03 20:05:04,9.75,-63.1767,81.68,78,29,9.95
278,Burayevo,RU,2021-02-03 20:05:05,55.8407,55.4083,6.69,93,69,5.48
279,Chokurdakh,RU,2021-02-03 20:05:05,70.6333,147.9167,0.66,93,100,10.78
280,Cayhagan,PH,2021-02-03 20:05:05,9.6697,122.4256,76.08,83,75,9.93
281,Ust-Kulom,RU,2021-02-03 20:05:05,61.6864,53.6902,2.19,93,84,3.94
282,Belmonte,BR,2021-02-03 20:05:05,-15.8631,-38.8828,80.6,74,20,11.5
283,Potosi,BO,2021-02-03 20:05:05,-19.5836,-65.7531,56.03,56,100,14.45
284,Saint-Augustin,CA,2021-02-03 20:05:05,51.226,-58.6502,33.26,94,100,35.52
285,Kampene,CD,2021-02-03 20:05:06,-3.6,26.6667,70.32,94,79,1.68
286,Zhezkazgan,KZ,2021-02-03 20:05:06,47.8043,67.7144,16.16,90,100,5.41
287,Aswan,EG,2021-02-03 20:04:02,24.0934,32.907,69.37,24,72,11.63
288,Kamaishi,JP,2021-02-03 20:05:06,39.2667,141.8833,22.84,90,14,6.55
289,Okha,RU,2021-02-03 20:05:06,53.5739,142.9478,-26.09,77,0,17.43
290,San Pedro De Macoris,DO,2021-02-03 20:05:06,18.4616,-69.2972,86.0,62,20,16.11
291,Kamenka,RU,2021-02-03 20:05:06,51.3223,42.7678,34.0,97,100,6.71
292,Aksay,RU,2021-02-03 20:05:07,47.26,39.87,46.99,100,75,6.71
293,Waipawa,NZ,2021-02-03 20:05:07,-41.4122,175.5153,60.01,77,75,19.57
